,area,year,total,men,women,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009
82,Gabon,1999,13,13,12,4662991794,5067865503,4712849280,4931503836,6054883172,7178135606,8665736618,9545982814,11570860872,15685389827,12031268402
6,Antigua and Barbuda,2000,14,12,16,651851840.3,787693391.3,778311556.5,806505874.3,849234753.9,905113766.5,1001970945,1141418340,1295824296,1354616665,1259082071
70,Equatorial Guinea,2000,8,9,7,872016821.4,1242848857,1736116149,2146760314,2952359370,5240842261,8217368425,7765111494,10304490483,15471010923,10356293894
93,Guinea-Bissau,2000,9,7,5,224446652.1,361858968.1,384270399.6,406669723.4,465414408,522651787.7,572853553.5,578517348.9,690721769.2,842890956.1,832530156.8
130,Liberia,2000,11,13,9,441800019.4,529064646.7,515000000,536000000,409000000,467000000,542000000,604028581.8,739026892.2,850040458.8,1155146230
179,Palau,2000,15,14,15,113485000,158408810.4,167182520.7,168926089.5,173320434,190829015.3,206328827.4,210111650.9,211831321.6,212734858.1,197525348.2
256,Zambia,2000,7,8,7,3131340054,3253551750,3653822712,3711284087,4341841414,5439176376,7178556337,10702200822,11541420981,14640792100,12805029522
21,Benin,2001,9,10,6,2488892429,2359122303,2499269391,2807657386,3557229702,4050869968,4358015993,4705087452,5506275948,6633561835,6585134688
156,Monaco,2001,18,17,18,2906009308,2647883820,2671401083,2905973022,3588988601,4110348444,4280072626,4663488363,5974371696,6919241412,5557579883
196,Samoa,2001,12,12,12,230621434.5,239698992.4,243324190.3,256677700.1,301905953,374507187.9,412220560.3,453082900.1,490916834.7,573946224.5,500992499.2
202,Sierra Leone,2001,7,9,6,669384768.9,635874002.2,1079478388,1239004288,1371442566,1431208677,1627853086,1887429109,2157944721,2504381637,2454531383
236,Tuvalu,2001,11,10,11,13686699.57,13741846.52,13196230.21,15451294.04,18230893.03,21535706.64,21839580.57,22903319.5,27030996.03,30290770.26,27101312.79
36,Canada,2002,16,16,16,6.61E+11,7.25E+11,7.15E+11,7.35E+11,8.66E+11,9.92E+11,1.13E+12,1.28E+12,1.42E+12,1.50E+12,1.34E+12
163,Nepal,2002,9,10,8,5033642384,5494252208,6007061224,6050875807,6330476435,7273933993,8130258976,9043715356,10325618017,12545438605,12854834975
219,Suriname,2002,12,11,13,885444167.4,892164363.6,763465570.6,1078402128,1271196078,1484092538,1793557833,2626093294,2936612022,3532969035,3875409836
167,Nicaragua,2003,11,11,11,4855717872,5107329010,5323146568,5224213019,5322437648,5795568203,6322582497,6786294613,7446636655,8254342300,8156131183
239,United Arab Emirates,2003,11,11,12,84445475523,1.04E+11,1.03E+11,1.10E+11,1.24E+11,1.48E+11,1.81E+11,2.22E+11,2.58E+11,3.15E+11,2.70E+11
257,Zimbabwe,2003,9,9,9,6858013063,6689957610,6777384733,6342116354,5727591778,5805598443,5755215232,5443896500,5291950101,4415702801,6133240672
1,Albania,2004,11,11,11,3434402453,3686649387,4091020249,4449373456,5652325082,7464446950,8376483740,9132562332,10704661571,12968652891,12118580597
47,Comoros,2004,11,12,10,222580461.6,201899883.6,220115655.3,251162420.6,324470868.9,362420483.5,387036131.7,403179474.4,464948879.3,530131963.4,535199685.9
63,Dominican Republic,2004,12,11,13,21709041189,23996656676,24894907435,26570402719,21268012747,22163928097,33969724872,35965041793,41320700933,45796188394,46768400363
230,Tonga,2004,14,14,14,194669501.6,188623258.5,167042880.1,181801947,208098551.9,240794581.2,264812953.8,295998379.1,301064027.1,346850175.9,318522296.1
248,Vanuatu,2004,10,11,10,267999225.3,272014693.1,257926881.7,262603781.8,314463144,364996869.1,394962552.3,437072933.9,526425740.4,607983815.3,610075806.7
2,Algeria,2005,13,13,13,48640613515,54790058957,54744716706,56760288962,67863832648,85324997370,1.03E+11,1.17E+11,1.35E+11,1.71E+11,1.37E+11
52,Costa Rica,2005,12,12,12,15796567138,15946443103,16403602943,16844378578,17517536016,18596365927,19964893807,22526464409,26321999607,29831164925,29382590138
79,Fiji,2005,13,13,13,1942170999,1684109743,1660102346,1842691481,2315935753,2727507213,3006725015,3103099942,3405050612,3629936625,2925499821
159,Morocco,2005,10,11,9,39734023743,37020609825,37724674865,40416114690,49822651702,56948015336,59523857868,65637107776,75226318359,88882967742,90908402631
160,Mozambique,2005,8,9,7,4536278939,4310090791,4075049537,4201332885,4666197195,5697991241,6578515331,7095910828,8035635713,9891003405,9674037707
169,Nigeria,2005,9,10,8,35870792988,46385996027,44138014092,59116868250,67655840108,87845403978,1.12E+11,1.45E+11,1.66E+11,2.08E+11,1.69E+11
231,Trinidad and Tobago,2005,11,11,12,6808976089,8154315708,8824873156,9008273516,11235960523,12884712296,16088526686,18460905284,21735387008,28017710148,19251916758
15,Bahrain,2006,14,14,15,6621186419,7970690894,7928934210,8491183201,9747599583,11235671061,13460198290,15854942951,18473097689,21902892584,19318822541
22,Bermuda,2006,12,12,12,3324433000,3480219000,3680483000,3937228000,4186525000,4484703000,4868136000,5414299000,5895048000,6109928000,5806378000
27,Botswana,2006,12,12,12,5484263050,5788311645,5489646903,5438856515,7511538765,8957491785,9931223496,10126990488,10939028155,11113042238,10106837286
33,Burundi,2006,10,8,7,808077223.4,870486065.9,876794723,825394484.4,784654423.6,915257323.4,1117254387,1273180655,1356078300,1611634286,1739781536
129,Lesotho,2006,10,10,10,801540664.7,771200632.5,706430933,656802669.1,969181551,1234197704,1368405301,1428842600,1597484736,1630667593,1716836000
138,Luxembourg,2006,13,13,13,21185382485,20267551133,20196868009,22568793525,29144582393,34077095478,37643013481,42544669011,51320626630,54742739957,49420776475
141,Madagascar,2006,10,10,9,3717515283,3877673635,4529575233,4397254715,5474030228,4363934417,5038577519,5515236338,7342905883,9394330368,8589560142
144,Maldives,2006,12,13,12,589239757,624337143.6,802442810.5,828240882.5,949867661.8,1075605492,992473987.3,1303375806,1541978559,1891633531,1984639641
148,Mauritania,2006,8,8,8,1405662578,1293653473,1295536829,1324424463,1563072653,1833445283,2184444849,3040718541,3356758534,3790240831,3027020112
183,Peru,2006,13,13,14,51509515206,53290390318,53935760985,56772338815,61346725170,69725009965,79385073422,92432757798,1.07E+11,1.30E+11,1.30E+11
208,Solomon Islands,2006,9,9,9,482214092.3,435101217.2,400464593,341663053.7,332736306.5,375109694.5,413909879.3,456735444.9,586218381,645796657.5,601299089.8
220,Swaziland,2006,10,11,10,1547888454,1524490159,1349326983,1224220675,1854020496,2420610579,2584077931,2947922183,3053823329,3019770680,3161320520
8,Argentina,2007,16,15,17,2.84E+11,2.84E+11,2.69E+11,1.02E+11,1.30E+11,1.53E+11,1.83E+11,2.14E+11,2.61E+11,3.27E+11,3.07E+11
16,Bangladesh,2007,8,8,8,45694072379,47124925462,46987842847,47571130071,51913661485,56560744012,60277560976,61901116736,68415421373,79554350678,89359767442
18,Belarus,2007,15,14,15,12138485329,12736856485,12354820144,14594925393,17825436035,23141587718,30210091837,36961918859,45275711996,60763483146,49271267252
34,Cambodia,2007,10,10,9,3517242477,3654031716,3979813388,4284028138,4658246907,5337833256,6293046162,7274424519,8639164917,10351829066,10401935532
87,Ghana,2007,10,10,9,7718110781,4982849054,5314871684,6166197192,7632720680,8881419348,10731883141,20410239313,24757608488,28528016511,25978563316
88,Greece,2007,16,16,17,1.33E+11,1.24E+11,1.30E+11,1.46E+11,1.93E+11,2.28E+11,2.40E+11,2.62E+11,3.05E+11,3.42E+11,3.21E+11
91,Guatemala,2007,11,11,10,18317089473,19290566570,18702820735,20776536920,21917565500,23965280312,27211230374,30231130543,34113106486,39136286496,37733791089
104,India,2007,10,11,10,4.67E+11,4.77E+11,4.94E+11,5.24E+11,6.18E+11,7.22E+11,8.34E+11,9.49E+11,1.24E+12,1.22E+12,1.37E+12
142,Malawi,2007,9,9,9,1775920039,1743506287,1716502069,2665158943,2424656666,2625127098,2754995877,3116789658,3647817219,4276769712,5030639934
143,Malaysia,2007,12,12,13,79148158888,93789473684,92783947368,1.01E+11,1.10E+11,1.25E+11,1.44E+11,1.63E+11,1.94E+11,2.31E+11,2.02E+11
182,Paraguay,2007,12,12,12,8392549939,8195993191,7662594857,6325151820,6588103956,8033877459,8734651354,10662013294,13837525590,18504760911,15954961410
11,Australia,2008,21,20,21,3.89E+11,4.15E+11,3.79E+11,3.94E+11,4.67E+11,6.13E+11,6.94E+11,7.47E+11,8.54E+11,1.06E+12,9.27E+11
12,Austria,2008,15,15,15,2.12E+11,1.92E+11,1.92E+11,2.08E+11,2.54E+11,2.91E+11,3.05E+11,3.25E+11,3.75E+11,4.14E+11,3.84E+11
13,Azerbaijan,2008,13,13,13,4581222442,5272617196,5707618247,6236024951,7275766111,8680511918,13245421881,20982270733,33049380918,48852482960,44291490421
19,Belgium,2008,16,16,16,2.55E+11,2.33E+11,2.32E+11,2.53E+11,3.12E+11,3.62E+11,3.77E+11,4.00E+11,4.60E+11,5.07E+11,4.73E+11
23,Bhutan,2008,11,11,11,419035810.8,439158233.5,476360697,537050133.3,622026106.8,702682018.3,818869145.8,897672085.8,1196090841,1257480561,1264686357
28,Brazil,2008,14,14,14,5.87E+11,6.45E+11,5.54E+11,5.04E+11,5.52E+11,6.64E+11,8.82E+11,1.09E+12,1.37E+12,1.65E+12,1.62E+12
31,Bulgaria,2008,14,13,14,13228374466,12903546765,13868600710,15979194511,20668176834,25283228366,28895083540,33209188739,42113656147,51824892678,48568714012
