area,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Aruba,1722798883,1873452514,1920262570,1941094972,2021301676,2228279330,2331005587,2421474860,2623726257,2791960894,2498932961
Andorra,1239840266,1133644295,1264760246,1456198796,1917948475,2322163502,2539759286,2823503853,3245411584,3712034267,
Afghanistan,,,2461666315,4128818043,4583648922,5285461999,6275076016,7057597615,9843851009,10190534636,12486950469
Angola,6152922943,9129594819,8936079253,12497346043,14188949240,19640862550,28233699240,41789494462,60448890972,84178086999,75492417649
Albania,3434402453,3686649387,4091020249,4449373456,5652325082,7464446950,8376483740,9132562332,10704661571,12968652891,12118580597
Arab World,6.28E+11,7.24E+11,7.04E+11,7.14E+11,8.04E+11,9.47E+11,1.16E+12,1.40E+12,1.63E+12,2.07E+12,1.81E+12
United Arab Emirates,84445475523,1.04E+11,1.03E+11,1.10E+11,1.24E+11,1.48E+11,1.81E+11,2.22E+11,2.58E+11,3.15E+11,2.70E+11
Argentina,2.84E+11,2.84E+11,2.69E+11,1.02E+11,1.30E+11,1.53E+11,1.83E+11,2.14E+11,2.61E+11,3.27E+11,3.07E+11
Armenia,1845482181,1911563665,2118467913,2376335048,2807061009,3576615240,4900436759,6384457744,9206277479,11662017845,8648015305
American Samoa,,,,,,,,,,,
Antigua and Barbuda,651851840.3,787693391.3,778311556.5,806505874.3,849234753.9,905113766.5,1001970945,1141418340,1295824296,1354616665,1259082071
Australia,3.89E+11,4.15E+11,3.79E+11,3.94E+11,4.67E+11,6.13E+11,6.94E+11,7.47E+11,8.54E+11,1.06E+12,9.27E+11
Austria,2.12E+11,1.92E+11,1.92E+11,2.08E+11,2.54E+11,2.91E+11,3.05E+11,3.25E+11,3.75E+11,4.14E+11,3.84E+11
Azerbaijan,4581222442,5272617196,5707618247,6236024951,7275766111,8680511918,13245421881,20982270733,33049380918,48852482960,44291490421
Burundi,808077223.4,870486065.9,876794723,825394484.4,784654423.6,915257323.4,1117254387,1273180655,1356078300,1611634286,1739781536
Belgium,2.55E+11,2.33E+11,2.32E+11,2.53E+11,3.12E+11,3.62E+11,3.77E+11,4.00E+11,4.60E+11,5.07E+11,4.73E+11
Benin,2488892429,2359122303,2499269391,2807657386,3557229702,4050869968,4358015993,4705087452,5506275948,6633561835,6585134688
Burkina Faso,3014665572,2610959139,2812845486,3205592273,4205691122,4838551014,5462709055,5844669738,6755823933,8350710389,8348156389
Bangladesh,45694072379,47124925462,46987842847,47571130071,51913661485,56560744012,60277560976,61901116736,68415421373,79554350678,89359767442
Bulgaria,13228374466,12903546765,13868600710,15979194511,20668176834,25283228366,28895083540,33209188739,42113656147,51824892678,48568714012
Bahrain,6621186419,7970690894,7928934210,8491183201,9747599583,11235671061,13460198290,15854942951,18473097689,21902892584,19318822541
"Bahamas, The",6019972000,6327552000,6516651000,6957996000,6949317000,7094413000,7706222000,7965588000,8318996000,8246650000,7820420000
Bosnia and Herzegovina,4685729743,5505984456,5748990555,6651226179,8370020196,10022840635,10948051122,12400102623,15280615815,18543289395,17082889410
Belarus,12138485329,12736856485,12354820144,14594925393,17825436035,23141587718,30210091837,36961918859,45275711996,60763483146,49271267252
Belize,732607993.8,831750000,871840755.4,932676403.2,990350000,1057850000,1114200000,1217450000,1290550000,1369600000,1338500000
Bermuda,3324433000,3480219000,3680483000,3937228000,4186525000,4484703000,4868136000,5414299000,5895048000,6109928000,5806378000
Bolivia,8285061618,8397858185,8141513292,7905485216,8082396526,8773451739,9549196256,11451845341,13120107688,16674276952,17339992165
Brazil,5.87E+11,6.45E+11,5.54E+11,5.04E+11,5.52E+11,6.64E+11,8.82E+11,1.09E+12,1.37E+12,1.65E+12,1.62E+12
Barbados,3012031889,3119500000,3112350000,3168600000,3271200000,3509700000,3891500000,4314050000,4513250000,4541550000,4592650000
Brunei Darussalam,4600000000,6001153318,5601090584,5843329102,6557333067,7872333197,9531402830,11470703002,12247627895,14393099069,10732435034
