Amount.Requested,Loan.Amount,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Score,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.,Employment.Length,Intercept
81174,20000,9,36,debt_consolidation,0.15,SC,MORTGAGE,6541.67,735,14,14272,2,< 1 year,1
99592,19200,12,36,debt_consolidation,0.28,TX,MORTGAGE,4583.33,715,12,11140,1,2 years,1
80059,35000,22,60,debt_consolidation,0.24,CA,MORTGAGE,11500,690,14,21977,1,2 years,1
15825,10000,10,36,debt_consolidation,0.14,KS,MORTGAGE,3833.33,695,10,9346,0,5 years,1
33182,12000,12,36,credit_card,0.19,NJ,RENT,3195,695,11,14469,0,9 years,1
62403,6000,15,36,other,0.2,CT,OWN,4891.67,670,17,10391,2,3 years,1
48808,10000,8,36,debt_consolidation,0.26,MA,RENT,2916.67,720,10,15957,0,10+ years,1
22090,33500,17,60,credit_card,0.15,LA,MORTGAGE,13863.42,705,12,27874,0,10+ years,1
76404,14675,14,36,credit_card,0.27,CA,RENT,3150,685,9,7246,1,8 years,1
15867,7000,7,36,credit_card,0.07,CA,RENT,5000,715,8,7612,0,3 years,1
94971,2000,20,36,moving,0.1,FL,RENT,3575,670,10,12036,0,6 years,1
36911,10625,14,36,debt_consolidation,0.13,CA,MORTGAGE,4250,665,14,10767,0,< 1 year,1
41200,28000,22,60,debt_consolidation,0.13,CT,MORTGAGE,14166.67,670,12,10311,0,1 year,1
83869,35000,9,36,debt_consolidation,0.2,CT,RENT,9166.67,735,19,21536,0,1 year,1
53853,9600,8,36,debt_consolidation,0.03,DC,RENT,11250,725,13,4606,0,< 1 year,1
21399,25000,16,60,debt_consolidation,0.22,CA,RENT,5416.67,730,6,13929,0,9 years,1
62127,10000,12,36,debt_consolidation,0.18,CA,RENT,9000,695,18,20317,0,7 years,1
23446,14000,10,60,debt_consolidation,0.12,OH,RENT,4333.33,740,6,7419,0,9 years,1
44987,10000,10,36,credit_card,0.07,FL,RENT,2733.33,730,7,6112,2,3 years,1
17977,5200,10,60,debt_consolidation,0.1,AL,MORTGAGE,3750,760,10,16094,0,< 1 year,1
86099,22000,22,36,debt_consolidation,0.11,TX,MORTGAGE,6666.67,665,9,23124,0,10+ years,1
99483,30000,19,60,credit_card,0.21,FL,MORTGAGE,6250,695,12,34927,0,6 years,1
28798,6500,18,60,car,0.2,FL,RENT,4100,665,11,11697,1,2 years,1
24168,17400,12,36,credit_card,0.12,AZ,RENT,6833.33,695,7,26587,0,7 years,1
10356,4000,17,60,vacation,0.14,GA,MORTGAGE,4500,670,5,20804,0,3 years,1
46027,7200,8,36,debt_consolidation,0.25,TX,RENT,5416.67,705,8,12017,0,7 years,1
2238,8000,14,36,debt_consolidation,0.25,MA,RENT,2964.17,675,9,8928,2,6 years,1
65278,8000,15,36,debt_consolidation,0.15,CA,MORTGAGE,2916.67,675,13,7152,1,5 years,1
4227,3000,9,36,other,0.04,MA,MORTGAGE,4167,765,4,7074,0,5 years,1
50182,14500,8,36,debt_consolidation,0.05,GA,MORTGAGE,3958.33,760,4,9598,0,4 years,1
87023,23850,21,60,debt_consolidation,0.29,LA,MORTGAGE,5833.33,685,19,25968,3,9 years,1
46120,14000,12,36,debt_consolidation,0.15,CA,MORTGAGE,10583.33,685,9,35457,0,2 years,1
30756,35000,16,60,debt_consolidation,0.07,GA,MORTGAGE,10416.67,720,7,31414,0,8 years,1
94582,16000,16,60,car,0.12,WV,RENT,5250,685,14,154,1,3 years,1
457,17350,14,36,debt_consolidation,0.19,NH,OWN,3666.67,675,8,18966,2,6 years,1
96536,8000,8,36,car,0.3,AL,MORTGAGE,5583.33,780,9,6065,1,10+ years,1
39591,7200,8,36,debt_consolidation,0.08,GA,RENT,5666.67,720,5,8783,0,3 years,1
78862,20125,8,36,home_improvement,0.04,VA,MORTGAGE,3750,830,13,73952,0,1 year,1
54619,12000,9,36,debt_consolidation,0.12,NY,RENT,5000,715,11,14717,0,4 years,1
101798,2400,12,36,home_improvement,0.21,MD,MORTGAGE,3448.33,660,10,18749,5,< 1 year,1
98029,3200,17,36,home_improvement,0.08,HI,MORTGAGE,2500,670,7,6619,1,3 years,1
95579,12725,11,36,debt_consolidation,0.22,TX,RENT,4416.67,720,23,4079,0,3 years,1
4868,5500,19,36,credit_card,0.04,DC,RENT,12000,660,2,0,1,8 years,1
26822,15650,22,36,house,0.14,MD,RENT,3700,660,5,10605,1,4 years,1
98445,9000,17,36,credit_card,0.25,CA,RENT,5166.67,675,14,5852,1,10+ years,1
14958,5000,12,36,major_purchase,0.04,TX,RENT,5577,715,3,1069,0,1 year,1
14754,3000,10,36,debt_consolidation,0.15,PA,RENT,3083.33,710,11,3098,0,2 years,1
34501,20000,24,60,debt_consolidation,0.09,CA,MORTGAGE,11250,670,5,11168,0,< 1 year,1
26888,5450,7,60,other,0.02,WA,MORTGAGE,4600,785,14,4326,0,10+ years,1
81759,14000,12,36,debt_consolidation,0.11,NY,MORTGAGE,4500,705,22,18583,0,5 years,1
10825,8800,10,60,credit_card,0.22,IL,RENT,3750,750,11,18694,1,2 years,1
16667,3000,17,36,other,0.16,MD,RENT,7952,660,4,12578,0,8 years,1
92046,32000,17,60,debt_consolidation,0.16,IL,RENT,9250,700,15,32566,1,2 years,1
88279,22250,21,60,debt_consolidation,0.29,HI,RENT,4166.67,665,15,14107,0,9 years,1
17218,7325,18,60,debt_consolidation,0.2,NY,OWN,3000,680,6,13583,0,5 years,1
82406,16450,11,36,debt_consolidation,0.08,NC,RENT,7500,725,5,2928,0,1 year,1
17143,2500,13,36,debt_consolidation,0.16,WI,RENT,1100,670,6,5019,1,4 years,1
27486,6000,10,36,other,0.08,FL,MORTGAGE,2625,715,4,5167,0,10+ years,1
96613,27575,14,36,debt_consolidation,0.2,CA,MORTGAGE,5166.67,690,6,8720,0,10+ years,1
6263,1000,9,36,educational,0.11,NY,OWN,4583.33,755,22,17069,1,< 1 year,1
29283,12000,11,36,debt_consolidation,0.13,IL,RENT,2708.33,705,8,12150,1,< 1 year,1
99766,30000,10,36,debt_consolidation,0.22,SD,MORTGAGE,8000,715,14,33218,0,10+ years,1
85893,13500,14,36,debt_consolidation,0.32,WV,RENT,4166.67,680,11,31168,0,1 year,1
98972,9000,16,36,debt_consolidation,0.23,OH,MORTGAGE,3250,665,9,16480,0,3 years,1
44054,15000,10,36,debt_consolidation,0.09,AK,MORTGAGE,4250,730,11,11615,1,10+ years,1
51948,5300,8,36,medical,0.13,CA,RENT,5500,725,8,9996,2,1 year,1
48676,7000,13,36,debt_consolidation,0.17,NJ,RENT,3650,685,12,6444,1,5 years,1
82294,20000,16,36,debt_consolidation,0.12,CA,RENT,9166.67,685,10,12421,3,< 1 year,1
20328,15000,18,60,debt_consolidation,0.14,CA,RENT,2916.67,705,4,12786,0,< 1 year,1
71489,8000,14,36,home_improvement,0.12,HI,RENT,5000,695,10,15360,1,6 years,1
43203,24000,19,60,debt_consolidation,0.04,CA,RENT,7500,695,6,8568,1,10+ years,1
48319,7500,9,36,debt_consolidation,0.1,DE,RENT,5500,715,9,2382,0,6 years,1
5367,17000,12,36,debt_consolidation,0.13,GA,RENT,4583.33,735,5,3644,1,6 years,1
83768,12000,17,36,credit_card,0.15,NJ,OWN,4583.33,665,12,9145,1,10+ years,1
88084,6000,15,36,other,0.16,MN,RENT,3833.33,670,11,5760,1,10+ years,1
101540,6725,13,36,debt_consolidation,0.13,MO,MORTGAGE,5000,670,10,5513,9,10+ years,1
9664,4500,7,36,debt_consolidation,0.15,WV,MORTGAGE,2666.67,790,7,2705,0,7 years,1
1494,1600,11,36,other,0.05,RI,RENT,2427,700,5,7020,0,3 years,1
61703,10000,18,36,wedding,0.3,NY,OWN,2500,665,5,8379,0,8 years,1
61576,18550,8,36,debt_consolidation,0.17,GA,MORTGAGE,5416.67,725,10,28877,0,3 years,1
21993,7450,13,36,debt_consolidation,0.03,WA,MORTGAGE,5883.33,710,2,6416,1,10+ years,1
58359,3225,8,36,debt_consolidation,0.18,CA,MORTGAGE,5833.33,760,5,70323,1,10+ years,1
67335,23675,18,36,credit_card,0.3,PA,OWN,6399,680,21,21920,0,10+ years,1
57080,12000,12,36,debt_consolidation,0.19,VA,RENT,5833.33,690,16,18838,0,10+ years,1
30035,25000,16,36,debt_consolidation,0.18,MA,RENT,6000,695,9,10630,2,7 years,1
103948,16000,11,36,credit_card,0.18,CA,MORTGAGE,6666.67,725,7,18659,4,5 years,1
96659,4200,9,36,car,0.1,NC,MORTGAGE,3041.67,810,4,1548,0,10+ years,1
67158,10000,14,36,debt_consolidation,0.21,CO,RENT,4583.33,675,11,8548,0,6 years,1
33777,6000,8,36,home_improvement,0.03,NJ,MORTGAGE,4800,750,4,1442,0,10+ years,1
59724,6000,13,36,debt_consolidation,0.15,KS,RENT,3333.33,685,7,12503,2,2 years,1
95096,7925,16,36,debt_consolidation,0.21,GA,RENT,2000,665,6,7840,0,6 years,1
67629,16000,8,36,debt_consolidation,0.06,IL,MORTGAGE,6000,765,8,19539,0,n/a,1
51929,9525,16,36,small_business,0.11,CA,RENT,2666.67,670,15,5610,1,n/a,1
13216,6000,14,36,debt_consolidation,0.14,IL,MORTGAGE,2500,675,9,3621,3,< 1 year,1
103405,10000,15,36,debt_consolidation,0.12,FL,MORTGAGE,5250,675,4,3035,5,2 years,1
53271,7000,7,36,major_purchase,0.08,NM,MORTGAGE,10000,750,9,6761,1,6 years,1
25380,4500,6,36,debt_consolidation,0.18,CA,MORTGAGE,10000,765,18,17863,3,6 years,1
6987,12000,11,36,debt_consolidation,0.02,MD,MORTGAGE,12500,735,13,10944,0,5 years,1
96413,10375,20,36,debt_consolidation,0.05,CT,RENT,4166.67,665,9,6122,1,5 years,1
88273,4800,19,36,other,0.11,NM,MORTGAGE,5833.33,670,8,17943,0,10+ years,1
48519,6400,13,36,credit_card,0.11,LA,MORTGAGE,4666.67,700,7,8942,1,10+ years,1
69456,5000,8,36,debt_consolidation,0.17,CA,OWN,4000,705,10,6023,0,10+ years,1
41198,12000,7,36,credit_card,0.22,NC,RENT,5250,740,11,20639,0,< 1 year,1
44282,23850,21,60,other,0.19,NY,MORTGAGE,4250,690,23,37251,0,4 years,1
34122,15000,11,36,small_business,0.16,OH,MORTGAGE,7083.33,720,14,338,2,9 years,1
84563,8000,8,36,other,0,NC,MORTGAGE,3500,765,7,0,1,n/a,1
98634,20000,6,36,credit_card,0.19,FL,MORTGAGE,14583.33,715,9,29044,0,7 years,1
73526,20000,13,36,debt_consolidation,0.15,NC,RENT,8233.33,710,17,29756,2,< 1 year,1
82476,10000,14,36,debt_consolidation,0.11,CA,RENT,2916.67,690,9,10390,3,< 1 year,1
67263,18825,14,36,credit_card,0.13,MI,RENT,4000,710,6,20694,1,4 years,1
41267,35000,8,36,small_business,0.02,IL,RENT,18333.33,775,10,1992,0,1 year,1
64884,9000,6,36,vacation,0.06,NJ,MORTGAGE,9583.33,815,11,675,0,n/a,1
18452,4000,6,36,home_improvement,0.15,CT,RENT,4234,745,5,587,1,2 years,1
57866,5750,14,36,credit_card,0.12,CA,RENT,5000,660,13,12465,0,10+ years,1
77151,20950,16,36,debt_consolidation,0.16,MA,MORTGAGE,12916.67,690,8,30188,1,4 years,1
25405,8000,11,36,credit_card,0.15,NY,RENT,7500,710,9,7120,2,< 1 year,1
85644,10000,10,36,debt_consolidation,0.09,TX,MORTGAGE,3333.33,725,8,8940,2,n/a,1
85686,10000,14,36,small_business,0.15,NY,RENT,5000,675,7,4762,0,4 years,1
54649,14000,6,36,credit_card,0.2,CT,MORTGAGE,6000,765,13,4140,0,8 years,1
19069,5000,8,36,credit_card,0.03,RI,RENT,9000,735,3,12297,0,10+ years,1
74479,25000,19,60,debt_consolidation,0.11,IL,MORTGAGE,6250,700,8,15159,1,9 years,1
76693,35000,9,36,debt_consolidation,0.15,CA,RENT,10416.67,735,9,21321,0,10+ years,1
63266,7200,11,36,debt_consolidation,0.28,OK,MORTGAGE,3750,690,8,20342,0,10+ years,1
32008,14000,8,60,debt_consolidation,0.1,CA,MORTGAGE,9000,760,17,23773,0,4 years,1
13996,15000,15,36,debt_consolidation,0.19,TX,RENT,5132,680,4,34044,1,3 years,1
80638,25000,20,60,debt_consolidation,0.32,NY,OWN,4916.67,695,21,35208,1,7 years,1
36889,10800,15,36,debt_consolidation,0.08,CA,RENT,9583.33,675,6,6487,1,< 1 year,1
72169,20000,14,36,credit_card,0.21,GA,MORTGAGE,6250,700,9,14268,1,9 years,1
19548,4000,11,36,debt_consolidation,0.02,KS,RENT,2900,695,13,1869,1,n/a,1
103357,16000,16,36,debt_consolidation,0.24,OH,MORTGAGE,9333.33,675,20,12721,5,10+ years,1
59117,1400,10,36,vacation,0.27,NV,MORTGAGE,4683.33,730,6,6466,0,2 years,1
15427,7500,16,36,debt_consolidation,0.13,CA,MORTGAGE,4600,665,3,6120,0,2 years,1
224,24625,14,36,credit_card,0.13,NY,MORTGAGE,10000,675,14,33698,0,8 years,1
85618,5000,14,36,debt_consolidation,0.29,FL,MORTGAGE,5416.67,680,11,3977,1,< 1 year,1
43436,25000,10,36,debt_consolidation,0.2,NY,RENT,7916.67,725,14,27203,0,1 year,1
19328,7500,16,36,debt_consolidation,0.13,CA,RENT,4166.67,660,8,7430,0,< 1 year,1
65134,34500,7,36,small_business,0.16,CA,MORTGAGE,10000,805,8,5317,0,9 years,1
20263,10000,6,36,debt_consolidation,0.06,GA,MORTGAGE,12500,745,17,75629,0,1 year,1
9194,3200,10,36,debt_consolidation,0.07,MA,RENT,4500,740,7,3198,0,5 years,1
27520,5500,16,60,debt_consolidation,0.18,RI,RENT,4250,700,16,13256,0,10+ years,1
45941,3000,10,36,debt_consolidation,0.22,VA,OWN,1100,720,4,2413,0,n/a,1
69242,18000,23,60,debt_consolidation,0.09,WI,RENT,7083.33,660,6,13106,0,10+ years,1
2633,10000,10,36,debt_consolidation,0.14,OK,MORTGAGE,4190,735,6,1251,1,< 1 year,1
48662,8800,13,36,credit_card,0.17,WI,RENT,3150.25,700,13,14266,1,4 years,1
65775,7000,11,36,debt_consolidation,0.23,TX,MORTGAGE,6000,705,17,19634,2,6 years,1
92773,8000,13,36,debt_consolidation,0.19,AK,RENT,2625,725,8,7554,1,5 years,1
33161,3000,17,36,credit_card,0.17,SC,RENT,3833.33,660,4,4136,0,n/a,1
37985,12000,8,36,debt_consolidation,0.12,MD,RENT,7500,735,18,33702,1,10+ years,1
2791,3600,14,36,small_business,0,WI,RENT,2500,725,4,1,0,3 years,1
81950,11625,14,36,debt_consolidation,0.23,NY,MORTGAGE,2833.33,705,6,27411,2,8 years,1
84215,30000,21,36,credit_card,0.17,MD,MORTGAGE,12500,670,14,19096,2,9 years,1
93352,16000,9,36,debt_consolidation,0.2,CO,RENT,7083.33,720,11,6185,1,4 years,1
10474,10800,11,36,major_purchase,0.15,FL,MORTGAGE,8400,715,6,24675,0,10+ years,1
15717,25000,17,60,debt_consolidation,0.14,CO,MORTGAGE,7666.67,705,15,28748,3,8 years,1
103874,10000,14,60,other,0.15,MO,RENT,3916.67,710,9,5188,4,4 years,1
132,12375,11,36,small_business,0.16,VA,MORTGAGE,3892.75,690,11,8332,2,3 years,1
5169,6000,11,36,credit_card,0.18,NY,MORTGAGE,5031.67,705,9,50935,0,10+ years,1
29812,8000,13,36,debt_consolidation,0.15,CO,RENT,5000,685,18,4786,1,2 years,1
56991,15000,18,36,credit_card,0.1,GA,MORTGAGE,5000,660,11,14596,0,8 years,1
62537,7000,18,36,other,0.32,NY,RENT,3333.33,665,12,35604,3,7 years,1
22858,8400,7,36,renewable_energy,0.13,MD,RENT,3000,745,9,6998,1,1 year,1
78602,15000,8,36,debt_consolidation,0.19,PA,MORTGAGE,4500,740,10,17212,0,7 years,1
93778,15000,14,36,debt_consolidation,0.13,TX,RENT,5000,665,7,11368,1,< 1 year,1
87504,2800,10,36,major_purchase,0.12,NY,RENT,2083.33,695,7,7261,0,< 1 year,1
92105,7750,16,36,debt_consolidation,0.27,FL,MORTGAGE,2916.67,680,18,17102,0,5 years,1
59387,4500,9,36,credit_card,0.18,UT,RENT,2166.67,700,8,5361,0,4 years,1
6067,17500,13,36,debt_consolidation,0.22,CO,RENT,3666.67,715,7,20010,0,6 years,1
62445,18000,15,60,debt_consolidation,0.05,CA,RENT,5258.5,710,6,11596,0,10+ years,1
35834,15000,15,60,debt_consolidation,0.18,PA,MORTGAGE,2748,720,14,7956,1,6 years,1
24320,6000,15,36,credit_card,0.2,KS,OWN,4583.33,665,13,8077,1,1 year,1
68821,11500,11,36,credit_card,0.28,CA,RENT,2750,700,6,9079,0,5 years,1
96988,10000,13,36,credit_card,0.08,PA,RENT,2500,685,8,10906,0,7 years,1
47002,12000,9,36,credit_card,0.12,MD,RENT,5000,725,5,13940,0,10+ years,1
53897,10000,12,36,debt_consolidation,0.18,CA,MORTGAGE,5000,685,7,13202,0,10+ years,1
40136,35000,21,60,debt_consolidation,0.18,AL,RENT,7916.67,680,8,19789,2,10+ years,1
14952,7200,10,60,major_purchase,0.18,PA,RENT,3000,750,7,2753,1,2 years,1
40856,4000,8,60,car,0.04,TX,OWN,4000,800,16,6696,0,< 1 year,1
4938,5300,11,36,debt_consolidation,0.08,UT,MORTGAGE,8333.33,740,5,73258,1,3 years,1
59272,1200,8,36,other,0.09,NY,MORTGAGE,3833.33,730,14,350,1,7 years,1
80512,2500,11,36,major_purchase,0.1,CA,RENT,4333.33,720,4,4922,0,3 years,1
82071,17000,14,36,debt_consolidation,0.26,MN,OWN,7500,700,21,39130,3,10+ years,1
