Type,saline,morphine
male,5710.916,106890.266
male,3822.867,55191.789
male,8206.88,104095.859
male,7602.845,34085.352
male,13826.959,107510.156
male,9015.844,62022.887
male,10501.399,140106.063
male,6841.003,52545.949
male,8245.396,105990.5
male,4515.613,28199.605
male,7450.603,110831.789
male,6986.868,41161.039
male,6491.058,15655.09
male,3953.661,138677.672
male,10063.694,75400.32
male,8283.638,73582.914
male,2476.17,102086.266
male,3588.252,25236.881
male,15397.892,87067.523
male,7234.475,120263.555
male,8331.643,3521.489
male,11763.051,36081.375
male,5642.414,25752.99
male,1306.985,76096.734
male,9845.614,65290.551
male,6617.079,92380.836
male,14179.263,161646.703
male,8236.675,17164.248
male,8266.228,9521.273
male,4385.734,24839.186
male,5805.772,74815.414
male,8332.139,54982.699
male,7098.29,20191.447
male,8307.876,56931.977
male,8427.329,171020.813
male,10442.18,4841.612
male,2884.645,21625.557
male,13587.671,2103.621
male,7390.716,19740.32
male,2938.128,43234.445
male,4137.067,94614.039
male,7157.333,32315.717
male,5317.687,14997.794
male,8004.531,35314.93
male,3210.994,33293.129
male,7430.971,35266.082
male,9456.485,67879.234
male,15887.012,15423.835
male,10303.983,105449.664
male,10255.153,128651.313
male,2405.855,46551.547
male,9207.92,90755.117
male,6197.681,43330.438
male,10033.349,13026.479
male,6094.859,10387.58
male,8276.501,110242.977
male,3790.786,111014.516
male,10233.837,1426.82
male,5784.304,5413.091
male,14290.411,75976.031
male,8361.098,74538.68
male,11965.849,3595.236
male,6008.979,56186.516
female,5815.591,112360.938
female,4248.437,18800.898
female,9732.804,76738.328
female,7283.037,1033.672
female,18284.117,81555.477
female,7123.171,109847.352
female,9259.241,138906.891
female,4968.416,55605.063
female,10994.797,65326.961
female,4932.979,41925.195
female,6951.584,114563.5
female,9514.061,110098.117
female,6510.45,19641.408
female,9661.7,84562.148
female,12148.6,97570.266
female,11321.587,81354.836
female,2789.583,133034.25
female,6576.731,24561.381
female,14292.063,66084.18
female,6629.029,125455.836
female,8203.802,6859.043
female,12307.265,50696.992
female,1475.558,13854.929
female,10486.976,100256.063
female,7224.611,84624.992
female,13670.058,90000.742
female,8307.661,121144.148
female,10709.624,33076.355
female,4824.778,10219.603
female,12528.232,45955.305
female,12597.913,98128.055
female,9060.38,52801.742
female,9358.605,19653.928
female,8121.534,22495.34
female,12873.318,100393.203
female,1481.13,15790.749
female,15081.783,22519.832
female,9838.845,1140.556
female,2421.732,4431.005
female,4895.955,54265.887
female,10487.747,90744.383
female,10743.774,66656.359
female,8319.988,85547.414
female,7435.723,76484.43
female,8955.368,26389.951
female,9128.065,58450.504
female,14945.676,35858.793
female,15127.63,21662.303
female,12009.462,125390.867
female,5486.421,149418.25
female,7682.785,86770.297
female,6796.369,67630.281
female,11490.929,49575.129
female,6291.385,6854.363
female,9475.091,24374.92
female,5062.004,19289.236
female,8523.481,107402.953
female,6059.674,120189.734
female,16910.656,3461.977
female,3977.228,27368.99
female,7306.169,62211.363
female,15868.016,75015.992
female,6858.06,7897.975
